name,occurrences_in_calendar,category,priority,country,active
RZA,1,Outro,Média,,true
Lance Reddick,1,Outro,Média,,true
Metro Boomin,1,Outro,Média,,true
Akon,1,Outro,Média,,true
Michelle Obama,1,Outro,Média,,true
Gleiciane Damasceno,1,Outro,Média,,true
Daiane dos Santos,1,Outro,Média,,true
Jordin Sparks,1,Outro,Média,,true
Logan Browning,1,Outro,Média,,true
Uzo Aduba,1,Outro,Média,,true
Naomi Osaka,1,Outro,Média,,true
Stormi Webster,1,Outro,Média,,true
Viola Davis,1,Outro,Média,,true
Donald Glover,1,Outro,Média,,true
Jonathan Azevedo,1,Outro,Média,,true
Giannis Antetokounmpo,1,Outro,Média,,true
Valerie Thomas,1,Outro,Média,,true
Mano Brown - Pedro Paulo Soares Pereira,1,Outro,Média,,true
Lashana Lynch,1,Outro,Média,,true
Péricles,1,Outro,Média,,true
Terry Crews,1,Outro,Média,,true
Pelé,1,Outro,Média,,true
Kevin Garnett,1,Outro,Média,,true
Chandra Wilson,1,Outro,Média,,true
Chris Tucker,1,Outro,Média,,true
J Cole,1,Outro,Média,,true
Lupita Nyong'o,1,Outro,Média,,true
Cris Vianna,1,Outro,Média,,true
Carolina Maria de Jesus,1,Outro,Média,,true
Zuri (Filha da Ludmilla),1,Outro,Média,,true
Russell Wilson,1,Outro,Média,,true
Alex Hibbert,1,Outro,Média,,true
Arlindo Cruz,1,Outro,Média,,true
Doja Cat,1,Outro,Média,,true
Alfonso Ribeiro,1,Outro,Média,,true
Tracee Ellis Ross,1,Outro,Média,,true
Ryan Coogler,1,Outro,Média,,true
Rodrigo França,1,Outro,Média,,true
Halle Bailey,1,Outro,Média,,true
Wunmi Mosaku,1,Outro,Média,,true
Chloe Bailey,1,Outro,Média,,true
Angel Reese,1,Outro,Média,,true
Sidney Poitier,1,Outro,Média,,true
Gilberto Gil,1,Outro,Média,,true
Rondell Sheridan,1,Outro,Média,,true
Mo'Nique,1,Outro,Média,,true
Lucien Laviscount,1,Outro,Média,,true
Jayson Tatum,1,Outro,Média,,true
Hill Harper,1,Outro,Média,,true
Jorge Lafond,1,Outro,Média,,true
Bobby Brown,1,Outro,Média,,true
Sean Kingston,1,Outro,Média,,true
Regina Casé,1,Outro,Média,,true
Arsenio Hall,1,Outro,Média,,true
d4vd,1,Outro,Média,,true
Tamera and Tia Mowry,1,Outro,Média,,true
Kofi Siriboe,1,Outro,Média,,true
Diamond Platnumz,1,Outro,Média,,true
Djimon Gaston Hounsou,1,Outro,Média,,true
Tim Maia,1,Outro,Média,,true
Kelly Rowland,1,Outro,Média,,true
Keith Sweat,1,Outro,Média,,true
A$AP Ferg,1,Outro,Média,,true
Patricia Louise Holte,1,Outro,Média,,true
Cacau Protásio,1,Outro,Média,,true
Eazy E,1,Outro,Média,,true
Juiz Mablean Ephriam,1,Outro,Média,,true
Maduka Emilio Okoye,1,Outro,Média,,true
Jeremih,1,Outro,Média,,true
Dave Chappelle,1,Outro,Média,,true
Lori Harvey,1,Outro,Média,,true
Common,1,Outro,Média,,true
Young Dolph,1,Outro,Média,,true
Louis Armstrong,1,Outro,Média,,true
Halle Berry,1,Outro,Média,,true
Jordan Peele,1,Outro,Média,,true
Marvin Gaye,1,Outro,Média,,true
Nelly,1,Outro,Média,,true
Michael Jackson,1,Outro,Média,,true
Kendrick Lamar,1,Outro,Média,,true
The Weeknd,1,Outro,Média,,true
Coco Gauff,1,Outro,Média,,true
Jill Scott,1,Outro,Média,,true
Chris Rock,1,Outro,Média,,true
WizKid,1,Outro,Média,,true
Seal,1,Outro,Média,,true
Keri Hilson,1,Outro,Média,,true
Victor Osimhen,1,Outro,Média,,true
Barry White,1,Outro,Média,,true
Tyrese Gibson,1,Outro,Média,,true
Skai Jackson,1,Outro,Média,,true
Chief Keef,1,Outro,Média,,true
Caleb McLaughlin,1,Outro,Média,,true
Sonequa Martin-Green,1,Outro,Média,,true
Sabotage,1,Outro,Média,,true
Tory Lanez,1,Outro,Média,,true
Marsai Martin,1,Outro,Média,,true
Christine Adams,1,Outro,Média,,true
Bernie Mac,1,Outro,Média,,true
Jabari Banks,1,Outro,Média,,true
Kareem Abdul-Jabbar,1,Outro,Média,,true
Lorraine Toussaint,1,Outro,Média,,true
Angela Davis,1,Outro,Média,,true
Loretta Devine,1,Outro,Média,,true
Octavia Lenora Spencer,1,Outro,Média,,true
Andre 3000,1,Outro,Média,,true
Leon Thomas,1,Outro,Média,,true
Babyface,1,Outro,Média,,true
Alicia Keys,1,Outro,Média,,true
Aya Nakamura,1,Outro,Média,,true
Niecy Nash,1,Outro,Média,,true
Gabourey Ridley Sidibe,1,Outro,Média,,true
Courtney B. Vance,1,Outro,Média,,true
Zileide Silva,1,Outro,Média,,true
James Joseph Brown Jr,1,Outro,Média,,true
Angela Bassett,1,Outro,Média,,true
Beverly Grace Jones,1,Outro,Média,,true
Jimmy Butler,1,Outro,Média,,true
Lenny Kravitz,1,Outro,Média,,true
Damon Wayans,1,Outro,Média,,true
CeeLo Green,1,Outro,Média,,true
Olivia Dean,1,Outro,Média,,true
Colin Kaepernick,1,Outro,Média,,true
Erika Januza da Trindade Gomes,1,Outro,Média,,true
Quincy Jones,1,Outro,Média,,true
Sandra de Sá,1,Outro,Média,,true
João Pimenta,1,Outro,Média,,true
Oprah Winfrey,1,Outro,Média,,true
Monica,1,Outro,Média,,true
Pharrell Williams,1,Outro,Média,,true
Jamie Foxx,1,Outro,Média,,true
Lumena Aleluia,1,Outro,Média,,true
Irving Rameses Rhames,1,Outro,Média,,true
Derrick Rose,1,Outro,Média,,true
Terrence Howard,1,Outro,Média,,true
Storm Reid,1,Outro,Média,,true
Sarah Vaughan,1,Outro,Média,,true
Jonathan Majors,1,Outro,Média,,true
CardiB,1,Outro,Média,,true
Nia Long,1,Outro,Média,,true
Meek Mill,1,Outro,Média,,true
Kid Cudi,1,Outro,Média,,true
Tinashe,1,Outro,Média,,true
Roberta Rodrigues,1,Outro,Média,,true
Phylicia Rashad,1,Outro,Média,,true
Kyrie Irving,1,Outro,Média,,true
Djavan,1,Outro,Média,,true
Angie Stone,1,Outro,Média,,true
Bruno Mars,1,Outro,Média,,true
Clifton Powell,1,Outro,Média,,true
Tisha Campbell Martin,1,Outro,Média,,true
Stormzy,1,Outro,Média,,true
Khalid,1,Outro,Média,,true
Eddie Griffin,1,Outro,Média,,true
Thalma de Freitas,1,Outro,Média,,true
Damson Idris,1,Outro,Média,,true
H.E.R,1,Outro,Média,,true
Neymar,1,Outro,Média,,true
Ne-Yo,1,Outro,Média,,true
Michael Ealy,1,Outro,Média,,true
Zazie Beetz,1,Outro,Média,,true
Iza,1,Outro,Média,,true
Shontelle,1,Outro,Média,,true
Maya Angelou,1,Outro,Média,,true
Ziggy Marley,1,Outro,Média,,true
Camilla de Lucas,1,Outro,Média,,true
Léo Santana,1,Outro,Média,,true
Alexandre Pires,1,Outro,Média,,true
Rafaela Silva,1,Outro,Média,,true
Lázaro Ramos,1,Outro,Média,,true
Kyle Massey,1,Outro,Média,,true
April Grace,1,Outro,Média,,true
